#CUE_COLUMN	FRAGMENT_COLUMN	INSTANCE_COLUMN	EXTREME_COLUMN	LEXICALIZATION_COLUMN	OPPOSING_SENTIMENT_COLUMN	TABOO_COLUMN	ANTONYM_COLUMN	UNUSUAL_COLUMN	LABEL_COLUMN
NO_CUE	It's great that you are so	It's great that you are so willing to participate.	_	_	_	_	_	_	OTHER
NO_CUE	It's incredible how you showcase your ... for all to admire.	It's incredible how you showcase your tattoos for all to admire.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	It's obvious that you don't	It's obvious that you don't rate us at work.	_	_	_	_	_	_	OTHER
NO_CUE	It's so nice that you never have to	It's so nice that you never have to brush your hair.	_	_	_	_	_	_	OTHER
NO_CUE	It's so nice that you never have to	It's so nice that you never have to exert yourself.	_	_	_	_	_	_	OTHER
NO_CUE	Many would find your	Many would find your lack of faith disturbing.	_	_	_	_	ANTONYM	UNUSUAL	OTHER
NO_CUE	Many would find your	Many would find your perfectionism hard to live up to.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	Next time I see you, remind me	Next time I see you, remind me to ask you how your new diet is going.	_	_	_	_	_	_	OTHER
NO_CUE	Next time I see you, remind me	Next time I see you, remind me to give you the bill.	_	_	_	_	_	_	OTHER
NO_CUE	No one would describe you as a	No one would describe you as a bore.	_	_	_	_	_	_	OTHER
NO_CUE	No one would describe you as a	No one would describe you as a quiet person.	_	_	_	_	_	_	OTHER
NO_CUE	No one would describe you as a	No one would describe you as an optimist.	_	_	_	_	_	_	OTHER
NO_CUE	Some might say it is surprising you have the power	Some might say it is surprising you have the power to control so many peoples lives in such a way.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	Some might say it is surprising you have the power	Some might say it is surprising you have the power to remove your child from school without giving a reason.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	Someone woke up	Someone woke up already wired on caffeine.	EXTREME	LEXICALIZATION	_	TABOO	_	UNUSUAL	OTHER
NO_CUE	Someone woke up	Someone woke up and wished they hadn't.	_	_	_	_	_	_	OTHER
NO_CUE	Sometimes I wish you were not	Sometimes I wish you were not so oblivious to what is happening around you.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	Sometimes I wish you were not	Sometimes I wish you were not so obsessed with the way you look.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	Sometimes I wish you were not	Sometimes I wish you were not so selfless.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	Sometimes I wish you were not	Sometimes I wish you were not so tired.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	The sight of you ...	The sight of you can occasionally make me feel anxious.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	The sight of you ...	The sight of you gave me cause for concern.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	There is ... in your life.	There is a lot of love in your life.	_	_	_	_	_	_	OTHER
NO_CUE	There is ... in your life.	There is much to celebrate in your life.	_	_	_	_	_	_	OTHER
NO_CUE	There is ... in your life.	There is so much positivity in your life.	_	_	_	_	_	_	OTHER
NO_CUE	There is ... in your life.	There is somehow a deep sadness in your life.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	There isn't anything that you	There isn't anything that you can say to convince me there is no Father Christmas.	_	_	_	_	_	_	OTHER
NO_CUE	There isn't anything that you	There isn't anything that you can't rationalise.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	There isn't anything that you	There isn't anything that you don't have.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	There isn't anything that you	There isn't anything that you won't do for a laugh.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	There's nothing you ... for ...	There's nothing you could do for me today.	_	_	_	_	_	_	OTHER
NO_CUE	Unlike you, not everyone enjoys	Unlike you, not everyone enjoys cereal foods.	_	_	_	_	_	_	OTHER
NO_CUE	Unlike you, not everyone enjoys	Unlike you, not everyone enjoys eating late.	_	_	_	_	_	_	OTHER
NO_CUE	We all know that ... around you.	We all know that we must keep our opinions to ourselves around you.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	We all know that ... around you.	We all know that your subordinates are nervous around you.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	We get it, you don't like	We get it, you don't like staying late.	_	_	_	_	_	_	OTHER
NO_CUE	We won't be seeing you in	We won't be seeing you in a leadership position until you've learned more about building rapport.	_	_	_	_	_	_	OTHER
NO_CUE	When I talk to you next, I shall remember	When I talk to you next, I shall remember that you sometimes forget basic things about me.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	When I talk to you next, I shall remember	When I talk to you next, I shall remember to have the list of names I forgot today.	_	_	_	_	_	_	OTHER
NO_CUE	When you walk the streets	When you walk the streets people stare.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	When you walk the streets	When you walk the streets you should try to engage with others more.	_	_	_	_	_	_	OTHER
NO_CUE	With you, I am	With you, I am not myself.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You ... for the wrong reasons.	You are in a relationship for the wrong reasons.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You ... for the wrong reasons.	You care for the wrong reasons.	_	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You ... for the wrong reasons.	You fall in love for the wrong reasons.	_	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You ... for the wrong reasons.	You spend extra time in the office for the wrong reasons.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You act	You act happy but I know you are going through a lot at home.	_	_	_	_	_	_	OTHER
NO_CUE	You act	You act like the world is yours.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You act	You act loosely at work.	_	_	_	_	_	_	OTHER
NO_CUE	You always want to be	You always want to be first.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You always want to be	You always want to be right no matter the cost.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You always want to be	You always want to be the winner, even when you are playing against a child.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You and your	You and your attitude need to improve.	_	_	_	_	_	_	OTHER
NO_CUE	You appear not to be	You appear not to be concentrating.	_	_	_	_	_	_	OTHER
NO_CUE	You appear not to be	You appear not to be interested in work.	_	_	_	_	_	_	OTHER
NO_CUE	You appear not to be	You appear not to be listening to me.	_	_	_	_	_	_	OTHER
NO_CUE	You are	You are a very private person.	_	_	_	_	_	_	OTHER
NO_CUE	You are	You are actively killing people through your actions.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are	You are afraid of what you are not familiar with.	_	_	_	_	_	_	OTHER
NO_CUE	You are	You are challenged in meeting your goals on time.	_	_	_	_	_	_	OTHER
NO_CUE	You are	You are clearly leaning towards a decision that you may regret.	_	_	_	_	_	_	OTHER
NO_CUE	You are	You are difficult to understand at times.	_	_	_	_	_	_	OTHER
NO_CUE	You are	You are dulling my sense of personal achievement with your pessimism.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are	You are easily distracted by the playstation.	_	_	_	_	_	_	OTHER
NO_CUE	You are	You are forgetting the most important part of the task.	_	_	_	_	_	_	OTHER
NO_CUE	You are	You are frustrating me.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are	You are in everyone's business.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are	You are lacking in the self awareness department.	_	_	_	_	ANTONYM	UNUSUAL	OTHER
NO_CUE	You are	You are missing a heart.	_	_	_	_	ANTONYM	UNUSUAL	OTHER
NO_CUE	You are	You are modest.	_	_	_	_	_	_	OTHER
NO_CUE	You are	You are really brutal.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are	You are reluctant to disclose information.	_	_	_	_	_	_	OTHER
NO_CUE	You are	You are second to none when it comes to showing that you act and dress better than anyone else.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are	You are such a nervous driver.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are	You are the baron of mischief.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are	You are the epitome of someone who is not confident.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are	You are too interested in making things perfect.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are ... favourite.	You are everyone's favourite.	_	_	_	_	_	_	OTHER
NO_CUE	You are ... favourite.	You are my favourite.	_	_	_	_	_	_	OTHER
NO_CUE	You are a master	You are a master of avoiding the point.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You are a master	You are a master of concentration.	_	_	_	_	_	_	OTHER
NO_CUE	You are a master	You are a master of getting children to sleep.	_	_	_	_	_	_	OTHER
NO_CUE	You are a master	You are a master woodworker.	_	_	_	_	_	_	OTHER
NO_CUE	You are a master at	You are a master at charcoal drawing.	_	_	_	_	_	_	OTHER
NO_CUE	You are a master at	You are a master at downplaying illnesses to doctors.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You are a master at	You are a master at giving good advice, but you do not listen to the advice of others.	_	_	_	_	_	_	OTHER
NO_CUE	You are a master at	You are a master at helping calm others down when they are upset.	_	_	_	_	_	_	OTHER
NO_CUE	You are a master at	You are a master at maneuvering the car into tight spaces.	_	_	_	_	_	_	OTHER
NO_CUE	You are a master at	You are a master at moderating contentious subreddits.	_	_	_	_	_	_	OTHER
NO_CUE	You are a master at	You are a master at scheduling work events at a time that suits everyone.	_	_	_	_	_	_	OTHER
NO_CUE	You are a master at	You are a master at the moonwalk.	_	_	_	_	_	_	OTHER
NO_CUE	You are a member of	You are a member of a memorable bunch of people in my life.	_	_	_	_	_	_	OTHER
NO_CUE	You are an expert at	You are an expert at bending the rules.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You are an expert at	You are an expert at caring for others.	_	_	_	_	_	_	OTHER
NO_CUE	You are an expert at	You are an expert at competition policy.	_	_	_	_	_	_	OTHER
NO_CUE	You are an expert at	You are an expert at environmental science.	_	_	_	_	_	_	OTHER
NO_CUE	You are an expert at	You are an expert at hiding your true feelings.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are an expert at	You are an expert at keeping the houseplants alive.	_	_	_	_	_	_	OTHER
NO_CUE	You are at the bottom of	You are at the bottom of the class rankings, it is time to make some changes.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are at the bottom of	You are at the bottom of your own list of important people.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are bad at	You are bad at giving negative feedback.	_	_	_	_	_	_	OTHER
NO_CUE	You are bad at	You are bad at making complex decisions.	_	_	_	_	_	_	OTHER
NO_CUE	You are bad at	You are bad at supporting others.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are clearly used to	You are clearly used to a slower pace in the office.	_	_	_	_	_	_	OTHER
NO_CUE	You are clearly used to	You are clearly used to being very noisy at night.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are devoid of	You are devoid of being able to express yourself.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are devoid of	You are devoid of high self-esteem.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are devoid of	You are devoid of remorse for eating the last rolo.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are devoid of	You are devoid of the ability to understand negative statements.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are excellent at	You are excellent at building flat pack furniture.	_	_	_	_	_	_	OTHER
NO_CUE	You are excellent at	You are excellent at communicating with people from different groups.	_	_	_	_	_	_	OTHER
NO_CUE	You are excellent at	You are excellent at creating mobile games that help to calm people down at bedtime.	_	_	_	_	_	_	OTHER
NO_CUE	You are excellent at	You are excellent at distracting the attention away from what we were talking about.	EXTREME	_	OPPOSING_SENTIMENT	_	_	_	OTHER
NO_CUE	You are excellent at	You are excellent at football.	_	_	_	_	_	_	OTHER
NO_CUE	You are excellent at	You are excellent at over thinking.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You are excellent at	You are excellent at prioritising other people, even to your own detriment.	_	_	_	_	_	_	OTHER
NO_CUE	You are excellent at	You are excellent at time keeping, last one in and first out the door.	_	_	_	_	_	_	OTHER
NO_CUE	You are excellent at	You are excellent at winning at all costs.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are extremely	You are extremely provocative when we are discussing issues with management.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are extremely	You are extremely quick to seize on one solution without necessarily giving the other options much thought.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are extremely enthusiastic about offering	You are extremely enthusiastic about offering other people's time and effort.	_	_	_	_	_	_	OTHER
NO_CUE	You are extremely enthusiastic about offering	You are extremely enthusiastic about offering support and guidance when needed.	_	_	_	_	_	_	OTHER
NO_CUE	You are extremely enthusiastic about offering	You are extremely enthusiastic about offering things you cannot afford.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are extremely enthusiastic about offering	You are extremely enthusiastic about offering your course to others.	_	_	_	_	_	_	OTHER
NO_CUE	You are extremely enthusiastic about offering	You are extremely enthusiastic about offering your energy to projects.	_	_	_	_	_	_	OTHER
NO_CUE	You are extremely enthusiastic about offering	You are extremely enthusiastic about offering your time to students trying to learn.	_	_	_	_	_	_	OTHER
NO_CUE	You are getting on	You are getting on my nerves when you repeat a question I have already answered.	EXTREME	LEXICALIZATION	_	_	_	_	OTHER
NO_CUE	You are getting on	You are getting on slowly.	_	_	_	_	_	_	OTHER
NO_CUE	You are good at	You are good at blaming external factors for your problems, you should try to take more responsibility.	_	_	OPPOSING_SENTIMENT	_	_	_	OTHER
NO_CUE	You are good at	You are good at bringing people together.	_	_	_	_	_	_	OTHER
NO_CUE	You are good at	You are good at creating an uplifting mood anywhere.	_	_	_	_	_	_	OTHER
NO_CUE	You are good at	You are good at everything you set out to do.	_	_	_	_	_	_	OTHER
NO_CUE	You are good at	You are good at growing things.	_	_	_	_	_	_	OTHER
NO_CUE	You are good at	You are good at making people feel at ease.	_	_	_	_	_	_	OTHER
NO_CUE	You are good at	You are good at providing for others.	_	_	_	_	_	_	OTHER
NO_CUE	You are good at	You are good at teaching people how to make art.	_	_	_	_	_	_	OTHER
NO_CUE	You are good at	You are good at using your communication skills to help others.	_	_	_	_	_	_	OTHER
NO_CUE	You are great at	You are great at avoiding difficult conversations.	EXTREME	_	OPPOSING_SENTIMENT	_	_	_	OTHER
NO_CUE	You are great at	You are great at avoiding making tea in the office, we are all parched.	EXTREME	_	OPPOSING_SENTIMENT	_	_	_	OTHER
NO_CUE	You are great at	You are great at basketball.	_	_	_	_	_	_	OTHER
NO_CUE	You are great at	You are great at hiding your negative feelings from others.	EXTREME	_	OPPOSING_SENTIMENT	_	_	_	OTHER
NO_CUE	You are great at	You are great at making others feel loved.	_	_	_	_	_	_	OTHER
NO_CUE	You are great at	You are great at navigating foreign subway systems without being able to read the language.	_	_	_	_	_	_	OTHER
NO_CUE	You are great at	You are great at staying calm.	_	_	_	_	_	_	OTHER
NO_CUE	You are great at being	You are great at being a caring listener.	_	_	_	_	_	_	OTHER
NO_CUE	You are great at being	You are great at being a mentor to your colleagues.	_	_	_	_	_	_	OTHER
NO_CUE	You are great at being	You are great at being an amazing father.	_	_	_	_	_	_	OTHER
NO_CUE	You are great at being	You are great at being encouraging.	_	_	_	_	_	_	OTHER
NO_CUE	You are great at being	You are great at being receptive to new ideas, but come up with few ideas of your own.	_	_	_	_	_	_	OTHER
NO_CUE	You are known as	You are known as someone who is too independent.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are marvellous at	You are marvellous at being late to appointments.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You are marvellous at	You are marvellous at knitting jumpers.	_	_	_	_	_	_	OTHER
NO_CUE	You are marvellous at	You are marvellous at motivating the people at the margins.	_	_	_	_	_	_	OTHER
NO_CUE	You are marvellous at	You are marvellous at painting still lifes.	_	_	_	_	_	_	OTHER
NO_CUE	You are marvellous at	You are marvellous at telling jokes!	_	_	_	_	_	_	OTHER
NO_CUE	You are marvellous at	You are marvellous at understanding another person's point of view.	_	_	_	_	_	_	OTHER
NO_CUE	You are not	You are not focusing on the issue.	_	_	_	_	_	_	OTHER
NO_CUE	You are not	You are not looking happy today.	_	_	_	_	_	_	OTHER
NO_CUE	You are not	You are not making the most of your natural gifts.	_	_	_	_	_	_	OTHER
NO_CUE	You are not	You are not my favorite person to go shopping with.	_	_	_	_	_	_	OTHER
NO_CUE	You are not ... of society.	You are not wholly accepting of the benefits of society.	_	_	_	_	_	_	OTHER
NO_CUE	You are not a fan of	You are not a fan of being amongst many people.	_	_	_	_	_	_	OTHER
NO_CUE	You are not a fan of	You are not a fan of people who seem indifferent to you.	_	_	_	_	_	_	OTHER
NO_CUE	You are not a fan of	You are not a fan of the same sort of things that I like.	_	_	_	_	_	_	OTHER
NO_CUE	You are not at all	You are not at all what I thought you were going to be like when I first met you.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are not bothered by	You are not bothered by Government health guidelines.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	You are not bothered by	You are not bothered by how others may feel.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	You are not bothered by	You are not bothered by mess.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	You are not easy to	You are not easy to be in the company of.	_	_	_	_	_	_	OTHER
NO_CUE	You are not easy to	You are not easy to get to know.	_	_	_	_	_	_	OTHER
NO_CUE	You are not easy to	You are not easy to joke with.	_	_	_	_	_	_	OTHER
NO_CUE	You are not easy to	You are not easy to live with.	_	_	_	_	_	_	OTHER
NO_CUE	You are not easy to	You are not easy to please.	_	_	_	_	_	_	OTHER
NO_CUE	You are not even	You are not even able to look me in the face.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are not even	You are not even pretending to pay attention.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are not even	You are not even thinking of the negative side effects of the medication.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are not exactly	You are not exactly a good judge of character.	_	_	_	_	_	_	OTHER
NO_CUE	You are not exactly	You are not exactly in the right.	_	_	_	_	_	_	OTHER
NO_CUE	You are not exactly	You are not exactly like everyone.	_	_	_	_	_	_	OTHER
NO_CUE	You are not exactly	You are not exactly perfect either.	_	_	_	_	_	_	OTHER
NO_CUE	You are not exactly	You are not exactly the best at sports.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	You are not exactly	You are not exactly the most patient person in the world.	_	_	_	_	_	_	OTHER
NO_CUE	You are not exactly	You are not exactly the same person as before.	_	_	_	_	_	_	OTHER
NO_CUE	You are not exactly	You are not exactly very well-organised.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	You are not in your	You are not in your comfort zone.	_	_	_	_	_	_	OTHER
NO_CUE	You are not overly	You are not overly done.	_	_	_	_	_	_	OTHER
NO_CUE	You are not overly	You are not overly sure about what you want.	_	_	_	_	_	_	OTHER
NO_CUE	You are not the best	You are not the best at everything.	_	_	_	_	_	_	OTHER
NO_CUE	You are not the best	You are not the best at putting yourself in the shoes of someone who you think is morally wrong.	_	_	_	_	_	_	OTHER
NO_CUE	You are not the most	You are not the most creative when it comes to art.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	You are not the most	You are not the most graceful of people.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	You are not very	You are not very compliant.	_	_	_	_	_	_	OTHER
NO_CUE	You are not very	You are not very established yet.	_	_	_	_	_	_	OTHER
NO_CUE	You are not very	You are not very fond of science fiction movies.	_	_	_	_	_	_	OTHER
NO_CUE	You are not very	You are not very happy at the moment.	_	_	_	_	_	_	OTHER
NO_CUE	You are not very	You are not very keen to help others.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	You are not very	You are not very polite.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	You are not very	You are not very punctual.	_	_	_	_	_	_	OTHER
NO_CUE	You are not very	You are not very time conscious.	_	_	_	_	_	_	OTHER
NO_CUE	You are not well	You are not well enough to drive anymore.	_	_	_	_	_	_	OTHER
NO_CUE	You are not well	You are not well-balanced when it comes to spending versus saving.	_	_	_	_	_	_	OTHER
NO_CUE	You are not what	You are not what I was anticipating.	_	_	_	_	_	_	OTHER
NO_CUE	You are not what	You are not what the client is looking for this time around.	_	_	_	_	_	_	OTHER
NO_CUE	You are not what	You are not what you seem.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are particularly talented at	You are particularly talented at bringing teams together.	_	_	_	_	_	_	OTHER
NO_CUE	You are particularly talented at	You are particularly talented at considering all that could go wrong when making plans.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are particularly talented at	You are particularly talented at finding solutions to unsolved math problems.	_	_	_	_	_	_	OTHER
NO_CUE	You are particularly talented at	You are particularly talented at playing the violin.	_	_	_	_	_	_	OTHER
NO_CUE	You are particularly talented at	You are particularly talented at teaching others your recipe for shortbread cookies.	_	_	_	_	_	_	OTHER
NO_CUE	You are particularly talented at	You are particularly talented at welding.	_	_	_	_	_	_	OTHER
NO_CUE	You are really amazing at	You are really amazing at carrying a burden.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You are really amazing at	You are really amazing at dodging questions.	EXTREME	_	OPPOSING_SENTIMENT	_	_	_	OTHER
NO_CUE	You are really amazing at	You are really amazing at juggling.	_	_	_	_	_	_	OTHER
NO_CUE	You are really amazing at	You are really amazing at leading your team.	_	_	_	_	_	_	OTHER
NO_CUE	You are really amazing at	You are really amazing at making children laugh.	_	_	_	_	_	_	OTHER
NO_CUE	You are really amazing at	You are really amazing at teaching others how to dance.	_	_	_	_	_	_	OTHER
NO_CUE	You are really amazing at	You are really amazing at using technology effectively.	_	_	_	_	_	_	OTHER
NO_CUE	You are scared of	You are scared of making mistakes.	_	_	_	_	_	_	OTHER
NO_CUE	You are scared of	You are scared of the past.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are scared of	You are scared of your own shadow.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are single-handedly	You are single-handedly dealing with a workload that could be more effectively managed if you spread it across the team.	_	_	_	_	_	_	OTHER
NO_CUE	You are so	You are so annoyingly late.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are so	You are so anxious and need to work on this.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are so	You are so indifferent.	_	_	_	_	_	_	OTHER
NO_CUE	You are so imaginative at	You are so imaginative at choosing paint colour combinations for rooms.	_	_	_	_	_	_	OTHER
NO_CUE	You are so imaginative at	You are so imaginative at developing funny story lines.	_	_	_	_	_	_	OTHER
NO_CUE	You are so imaginative at	You are so imaginative at drawing fan art for star trek: the original series.	_	_	_	_	_	_	OTHER
NO_CUE	You are so imaginative at	You are so imaginative at making up stories.	_	_	_	_	_	_	OTHER
NO_CUE	You are so imaginative at	You are so imaginative at pretend play with your children.	_	_	_	_	_	_	OTHER
NO_CUE	You are so imaginative at	You are so imaginative at problem solving.	_	_	_	_	_	_	OTHER
NO_CUE	You are so imaginative at	You are so imaginative at what could go wrong.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You are starting to	You are starting to irritate your father.	_	_	_	_	_	_	OTHER
NO_CUE	You are starting to	You are starting to worry about not getting everything absolutely perfect before the party starts.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are the best at	You are the best at being patient.	_	_	_	_	_	_	OTHER
NO_CUE	You are the best at	You are the best at finding a solution.	_	_	_	_	_	_	OTHER
NO_CUE	You are the best at	You are the best at lifting others up when they are down.	_	_	_	_	_	_	OTHER
NO_CUE	You are the best at	You are the best at organizing your community.	_	_	_	_	_	_	OTHER
NO_CUE	You are the best at	You are the best at planning day trips.	_	_	_	_	_	_	OTHER
NO_CUE	You are the best at	You are the best at sitting on the fence.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You are the kind of person that	You are the kind of person that finds work overwhelming.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are the kind of person that	You are the kind of person that gives only positive criticism.	_	_	_	_	_	_	OTHER
NO_CUE	You are the kind of person that	You are the kind of person that pretends to not know what they are doing.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are the kind of person that	You are the kind of person that you can never pin down.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are the leader of	You are the leader of a highly effective organisation.	_	_	_	_	_	_	OTHER
NO_CUE	You are the leader of	You are the leader of making a positive change.	_	_	_	_	_	_	OTHER
NO_CUE	You are the leader of	You are the leader of your family and you take great care of them.	_	_	_	_	_	_	OTHER
NO_CUE	You are the leader of	You are the leader of your generation.	_	_	_	_	_	_	OTHER
NO_CUE	You are the leader of	You are the leader of your profession.	_	_	_	_	_	_	OTHER
NO_CUE	You are the opposite	You are the opposite of what I thought.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are the perfect ... for me to ...	You are the perfect candidate for me to hire.	_	_	_	_	_	_	OTHER
NO_CUE	You are the perfect ... for me to ...	You are the perfect friend for me to love.	_	_	_	_	_	_	OTHER
NO_CUE	You are the perfect ... for me to ...	You are the perfect person for me to recommend for an award.	_	_	_	_	_	_	OTHER
NO_CUE	You are the perfect ... for me to ...	You are the perfect person for me to spend time with.	_	_	_	_	_	_	OTHER
NO_CUE	You are the perfect ... for me to ...	You are the perfect person for me to try my food out on.	_	_	_	_	_	_	OTHER
NO_CUE	You are the perfect source if	You are the perfect source if I need good information about something.	_	_	_	_	_	_	OTHER
NO_CUE	You are the perfect source if	You are the perfect source if I'm looking for the truth.	_	_	_	_	_	_	OTHER
NO_CUE	You are the perfect source if	You are the perfect source if we need accurate information.	_	_	_	_	_	_	OTHER
NO_CUE	You are the perfect source if	You are the perfect source if we need to find out what not to do.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are the reason ... have ...	You are the reason I have decided to spend more time in the country.	_	_	_	_	_	_	OTHER
NO_CUE	You are the reason ... have ...	You are the reason I have gotten out of bed today.	_	_	_	_	_	_	OTHER
NO_CUE	You are the reason ... have ...	You are the reason I have so much self-worth.	_	_	_	_	_	_	OTHER
NO_CUE	You are the reason ... have ...	You are the reason I tried something new that I have enjoyed.	_	_	_	_	_	_	OTHER
NO_CUE	You are the reason ... have ...	You are the reason that I have followed my dream.	_	_	_	_	_	_	OTHER
NO_CUE	You are the reason ... have ...	You are the reason we have had to bring in strict rules.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	You are truly the best at	You are truly the best at driving when it's slippery out.	_	_	_	_	_	_	OTHER
NO_CUE	You are truly the best at	You are truly the best at living the life you want to live.	_	_	_	_	_	_	OTHER
NO_CUE	You are truly the best at	You are truly the best at looking back instead of looking ahead.	EXTREME	_	OPPOSING_SENTIMENT	_	_	_	OTHER
NO_CUE	You are truly the best at	You are truly the best at making me feel safe and loved.	_	_	_	_	_	_	OTHER
NO_CUE	You are truly the best at	You are truly the best at obstacle courses.	_	_	_	_	_	_	OTHER
NO_CUE	You are truly the best at	You are truly the best at pitching new ideas.	_	_	_	_	_	_	OTHER
NO_CUE	You are truly the best at	You are truly the best at questioning everything.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	You are used to	You are used to getting your own way.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	You are very	You are very excitable.	_	_	_	_	_	_	OTHER
NO_CUE	You are very	You are very quick to judge people.	_	_	_	_	_	_	OTHER
